Price,Close,High,Low,Open,Volume
Ticker,0175.HK,0175.HK,0175.HK,0175.HK,0175.HK
Date,,,,,
2018-01-02,23.552478790283203,23.810823418049896,23.16496020611808,23.552478790283203,39087794
2018-01-03,24.41362762451172,24.45668451123768,23.68164905256579,23.72470593929175,65418202
2018-01-04,23.63858985900879,24.758085229784434,23.509415926406785,24.758085229784434,49912990
2018-01-05,23.72470474243164,23.85387868112286,22.906612438304776,23.85387868112286,46538082
2018-01-08,23.896934509277344,24.19833761537479,23.29412829708245,23.810819101461675,33288216
2018-01-09,23.251073837280273,24.499743274436497,22.99272922942759,24.327512440858065,96157779
2018-01-10,22.99272918701172,23.638592347966934,22.519095216802253,23.638592347966934,61709427
2018-01-11,22.64826774597168,22.906613998434782,22.346866248537186,22.82049858094708,42316156
2018-01-12,23.251073837280273,23.251073837280273,22.691326091922814,22.82049839584916,52835110
2018-01-15,22.51909637451172,23.681650452501145,22.217693222067787,23.681650452501145,56740787
2018-01-16,22.64826774597168,22.863555468433447,22.38992313602355,22.64826774597168,45163228
2018-01-17,22.174633026123047,22.432977608256426,21.657942219341493,22.389920725405794,68196772
2018-01-18,21.22736930847168,22.30380793103632,21.14125389016351,22.260751043139727,94922248
2018-01-19,21.528772354125977,21.787116965369496,20.925966071204456,21.356541518286978,90415319
2018-01-22,21.270427703857422,21.830175455534725,21.055139980711154,21.787116925396486,83931356
2018-01-23,22.51909637451172,23.20801810045714,21.78711775929504,21.830176291081337,170698603
2018-01-24,22.26074981689453,22.73438212772669,21.787115863547477,22.519094415073003,61552728
2018-01-25,21.87322998046875,22.303805380251656,21.485713106173012,22.217689971792115,60658613
2018-01-26,21.61488914489746,22.217693823590643,21.485716831071425,22.131580042716678,55773149
2018-01-29,21.270427703857422,21.614887732388457,21.098196868334416,21.571829202250218,65042760
2018-01-30,21.22736930847168,21.873232482010465,21.14125389016351,21.270427838883258,41633774
2018-01-31,21.571823120117188,21.657938513598626,21.141247795224512,21.22736318870595,46793547
2018-02-01,21.098194122314453,21.7010003256722,21.098194122314453,21.65794180113821,42230237
2018-02-02,21.3134822845459,21.83017309267421,20.753734593454723,21.055137701739138,56618465
2018-02-05,21.012081146240234,21.356541169782215,20.1939887956424,20.23704568264204,56375626
2018-02-06,19.20366096496582,20.452330202772547,18.94531639835773,20.150927113386643,130234672
2018-02-07,18.816144943237305,20.581503391961622,18.600857247416545,20.23704340715136,132801466
2018-02-08,18.85920524597168,19.289780715708545,18.600860621135585,19.289780715708545,63704833
2018-02-09,18.514741897583008,18.686972711775734,17.223015718681868,18.08416650461596,120294624
2018-02-12,19.03143310546875,19.41894998193428,18.600857703274954,18.85920228758531,65358081
2018-02-13,19.289777755737305,19.634237750167202,19.074490053904267,19.462008574209662,41405088
2018-02-14,19.375892639160156,19.591180335150824,19.031432654078042,19.591180335150824,29125755
2018-02-15,19.548124313354492,19.80646890290823,19.462008902664966,19.634238081529176,23214896
2018-02-20,20.021759033203125,20.49539138558471,19.59118357012349,20.021759033203125,54404126
2018-02-21,20.452333450317383,20.49539033741733,19.935642592543214,20.150930313072873,34773917
2018-02-22,20.40927505493164,20.88290734808854,20.02175652961066,20.323159644580887,54039662
