Price,Close,High,Low,Open,Volume
Ticker,DRIV,DRIV,DRIV,DRIV,DRIV
Date,,,,,
2018-04-17,13.763456344604492,13.79678467734259,13.682388727274743,13.682388727274743,57400
2018-04-18,13.763456344604492,13.79678467734259,13.682388727274743,13.682388727274743,6200
2018-04-19,13.654467582702637,13.790480833151461,13.637353287135062,13.790480833151461,817400
2018-04-20,13.508543014526367,13.637350764502246,13.479719395229612,13.637350764502246,72200
2018-04-23,13.376134872436523,13.538269252287389,13.358119464107567,13.538269252287389,14200
2018-04-24,13.232016563415527,13.502241723811887,13.223009716652594,13.475219465478881,9600
2018-04-25,13.215801239013672,13.259037532559075,13.114917699437015,13.213999869952941,8400
2018-04-26,13.448196411132812,13.448196411132812,13.304076563191257,13.385143333391841,5000
2018-04-27,13.349112510681152,13.502240054001199,13.349112510681152,13.502240054001199,5100
2018-04-30,13.295066833496094,13.493231164730172,13.286059129615838,13.493231164730172,9900
2018-05-01,13.340105056762695,13.340105056762695,13.186977520424813,13.204992069923527,12200
2018-05-02,13.331098556518555,13.430180735265118,13.331098556518555,13.403158479065516,12400
2018-05-03,13.353615760803223,13.385141866708192,13.150947568976148,13.213999780786088,12400
2018-05-04,13.535568237304688,13.535568237304688,13.377035729355525,13.377035729355525,5200
2018-05-07,13.565293312072754,13.636452118288618,13.557185862345394,13.583307862637755,13100
2018-05-08,13.53376579284668,13.58330730816666,13.529262799655749,13.529262799655749,11000
2018-05-09,13.676084518432617,13.690497189396645,13.575200975816369,13.646359780480045,10200
2018-05-10,13.854433059692383,13.907577314619557,13.754450630325223,13.907577314619557,20600
2018-05-11,13.85893726348877,13.924691963013855,13.837319974361332,13.880555411638225,9200
2018-05-14,13.916584968566895,13.984141035307987,13.916584968566895,13.952614928096942,33500
2018-05-15,13.763456344604492,13.799486301304167,13.731029984890135,13.799486301304167,6600
2018-05-16,13.922891616821289,13.936403175162965,13.840022615507596,13.898571842632773,5700
2018-05-17,13.877851486206055,13.997651543655405,13.854431971314856,13.943606178898047,8600
2018-05-18,13.849030494689941,13.885060458364023,13.835518936178875,13.853534347526963,11800
2018-05-21,13.907578468322754,13.979639252645299,13.907578468322754,13.970631547227221,9100
2018-05-22,13.952614784240723,14.051697816193274,13.952614784240723,14.051697816193274,25300
2018-05-23,13.853532791137695,13.853532791137695,13.736435207596854,13.8265105361735,16900
2018-05-24,13.797686576843262,13.817503356047682,13.691398063057603,13.817503356047682,12700
2018-05-25,13.758952140808105,13.781471400058265,13.709411488501566,13.709411488501566,4900
2018-05-29,13.556285858154297,13.67338344557086,13.51575204485541,13.58330811401288,13600
2018-05-30,13.675183296203613,13.70040418007392,13.623840414458234,13.664374223256063,10400
2018-05-31,13.61933708190918,13.79948687286923,13.61933708190918,13.79948687286923,18000
2018-06-01,13.835518836975098,13.839122434632133,13.781474321362532,13.781474321362532,8300
2018-06-04,13.961624145507812,13.961624145507812,13.912082623652813,13.916586476459821,8600
2018-06-05,14.024675369262695,14.024675369262695,13.966127004979995,14.006660818338029,5000
2018-06-06,14.150778770446777,14.16879331896364,14.042688902279863,14.14177106667739,12300
2018-06-07,14.123757362365723,14.213831828377792,14.069711995540912,14.198518902858932,12200
2018-06-08,14.06881046295166,14.06971071788751,14.033680762950127,14.06971071788751,9400
2018-06-11,14.105742454528809,14.13276470938957,14.060704790412876,14.078720199668046,25900
2018-06-12,14.015667915344238,14.105742384104403,14.000354989358193,14.105742384104403,9000
2018-06-13,14.042691230773926,14.078721192803885,14.010264007240346,14.010264007240346,4600
2018-06-14,14.024675369262695,14.069713035107402,14.015668523311376,14.043591034293508,11600
2018-06-15,13.916584968566895,13.961622632734954,13.880555009036845,13.961622632734954,12700
2018-06-18,13.907578468322754,13.91658617374083,13.77066495386068,13.853533953858433,12200
